Timestamp,W/m? Solar Radiation
6/30/2019 18:15,33
6/30/2019 18:30,11
6/30/2019 18:45,6
6/30/2019 19:00,0
6/30/2019 19:15,0
6/30/2019 19:30,0
6/30/2019 19:45,0
6/30/2019 20:00,0
6/30/2019 20:15,0
6/30/2019 20:30,0
6/30/2019 20:45,0
6/30/2019 21:00,0
6/30/2019 21:15,0
6/30/2019 21:30,0
6/30/2019 21:45,0
6/30/2019 22:00,0
6/30/2019 22:15,0
6/30/2019 22:30,0
6/30/2019 22:45,0
6/30/2019 23:00,0
6/30/2019 23:15,0
6/30/2019 23:30,0
6/30/2019 23:45,0
7/1/2019 0:00,0
7/1/2019 0:15,0
7/1/2019 0:30,0
7/1/2019 0:45,0
7/1/2019 1:00,0
7/1/2019 1:15,0
7/1/2019 1:30,0
7/1/2019 1:45,0
7/1/2019 2:00,0
7/1/2019 2:15,0
7/1/2019 2:30,0
7/1/2019 2:45,0
7/1/2019 3:00,0
7/1/2019 3:15,0
7/1/2019 3:30,0
7/1/2019 3:45,0
7/1/2019 4:00,0
7/1/2019 4:15,0
7/1/2019 4:30,0
7/1/2019 4:45,0
7/1/2019 5:00,0
7/1/2019 5:15,0
7/1/2019 5:30,0
7/1/2019 5:45,0
7/1/2019 6:00,0
7/1/2019 6:15,1
7/1/2019 6:30,9
7/1/2019 6:45,22
7/1/2019 7:00,35
7/1/2019 7:15,46
7/1/2019 7:30,185
7/1/2019 7:45,254
7/1/2019 8:00,306
7/1/2019 8:15,258
7/1/2019 8:30,314
7/1/2019 8:45,484
7/1/2019 9:00,474
7/1/2019 9:15,578
7/1/2019 9:30,369
7/1/2019 9:45,477
7/1/2019 10:00,677
7/1/2019 10:15,441
7/1/2019 10:30,875
7/1/2019 10:45,870
7/1/2019 11:00,604
7/1/2019 11:15,903
7/1/2019 11:30,990
7/1/2019 11:45,467
7/1/2019 12:00,513
7/1/2019 12:15,741
7/1/2019 12:30,445
7/1/2019 12:45,492
7/1/2019 13:00,661
7/1/2019 13:15,381
7/1/2019 13:30,141
7/1/2019 13:45,56
7/1/2019 14:00,66
7/1/2019 14:15,93
7/1/2019 14:30,63
7/1/2019 14:45,40
7/1/2019 15:00,28
7/1/2019 15:15,25
7/1/2019 15:30,21
7/1/2019 15:45,20
7/1/2019 16:00,33
7/1/2019 16:15,31
7/1/2019 16:30,30
7/1/2019 16:45,27
7/1/2019 17:00,23
7/1/2019 17:15,22
7/1/2019 17:30,18
7/1/2019 17:45,19
7/1/2019 18:00,17
7/1/2019 18:15,14
7/1/2019 18:30,9
7/1/2019 18:45,4
7/1/2019 19:00,0
7/1/2019 19:15,0
7/1/2019 19:30,0
7/1/2019 19:45,0
7/1/2019 20:00,0
7/1/2019 20:15,0
7/1/2019 20:30,0
7/1/2019 20:45,0
7/1/2019 21:00,0
7/1/2019 21:15,0
7/1/2019 21:30,0
7/1/2019 21:45,0
7/1/2019 22:00,0
7/1/2019 22:15,0
7/1/2019 22:30,0
7/1/2019 22:45,0
7/1/2019 23:00,0
7/1/2019 23:15,0
7/1/2019 23:30,0
7/1/2019 23:45,0
7/2/2019 0:00,0
7/2/2019 0:15,0
7/2/2019 0:30,0
7/2/2019 0:45,0
7/2/2019 1:00,0
7/2/2019 1:15,0
7/2/2019 1:30,0
7/2/2019 1:45,0
7/2/2019 2:00,0
7/2/2019 2:15,0
7/2/2019 2:30,0
7/2/2019 2:45,0
7/2/2019 3:00,0
7/2/2019 3:15,0
7/2/2019 3:30,0
7/2/2019 3:45,0
7/2/2019 4:00,0
7/2/2019 4:15,0
7/2/2019 4:30,0
7/2/2019 4:45,0
7/2/2019 5:00,0
7/2/2019 5:15,0
7/2/2019 5:30,0
7/2/2019 5:45,0
7/2/2019 6:00,0
7/2/2019 6:15,0
7/2/2019 6:30,6
7/2/2019 6:45,20
7/2/2019 7:00,45
7/2/2019 7:15,77
7/2/2019 7:30,148
7/2/2019 7:45,236
7/2/2019 8:00,301
7/2/2019 8:15,313
7/2/2019 8:30,367
7/2/2019 8:45,392
7/2/2019 9:00,497
7/2/2019 9:15,279
7/2/2019 9:30,297
7/2/2019 9:45,324
7/2/2019 10:00,519
7/2/2019 10:15,696
7/2/2019 10:30,836
7/2/2019 10:45,793
7/2/2019 11:00,710
7/2/2019 11:15,768
7/2/2019 11:30,824
7/2/2019 11:45,799
7/2/2019 12:00,993
7/2/2019 12:15,863
7/2/2019 12:30,802
7/2/2019 12:45,227
7/2/2019 13:00,190
7/2/2019 13:15,288
7/2/2019 13:30,960
7/2/2019 13:45,431
7/2/2019 14:00,563
7/2/2019 14:15,694
7/2/2019 14:30,127
7/2/2019 14:45,96
7/2/2019 15:00,221
7/2/2019 15:15,289
7/2/2019 15:30,78
7/2/2019 15:45,126
7/2/2019 16:00,104
7/2/2019 16:15,453
7/2/2019 16:30,331
7/2/2019 16:45,208
7/2/2019 17:00,98
7/2/2019 17:15,63
7/2/2019 17:30,40
7/2/2019 17:45,33
7/2/2019 18:00,6
7/2/2019 18:15,4
7/2/2019 18:30,1
7/2/2019 18:45,1
7/2/2019 19:00,0
7/2/2019 19:15,0
7/2/2019 19:30,0
7/2/2019 19:45,0
7/2/2019 20:00,0
7/2/2019 20:15,0
7/2/2019 20:30,0
7/2/2019 20:45,0
7/2/2019 21:00,0
7/2/2019 21:15,0
7/2/2019 21:30,0
7/2/2019 21:45,0
7/2/2019 22:00,0
7/2/2019 22:15,0
7/2/2019 22:30,0
7/2/2019 22:45,0
7/2/2019 23:00,0
7/2/2019 23:15,0
7/2/2019 23:30,0
7/2/2019 23:45,0
7/3/2019 0:00,0
7/3/2019 0:15,0
7/3/2019 0:30,0
7/3/2019 0:45,0
7/3/2019 1:00,0
7/3/2019 1:15,0
7/3/2019 1:30,0
7/3/2019 1:45,0
7/3/2019 2:00,0
7/3/2019 2:15,0
7/3/2019 2:30,0
7/3/2019 2:45,0
7/3/2019 3:00,0
7/3/2019 3:15,0
7/3/2019 3:30,0
7/3/2019 3:45,0
7/3/2019 4:00,0
7/3/2019 4:15,0
7/3/2019 4:30,0
7/3/2019 4:45,0
7/3/2019 5:00,0
7/3/2019 5:15,0
7/3/2019 5:30,0
7/3/2019 5:45,0
7/3/2019 6:00,0
7/3/2019 6:15,1
7/3/2019 6:30,12
7/3/2019 6:45,33
7/3/2019 7:00,53
7/3/2019 7:15,56
7/3/2019 7:30,60
7/3/2019 7:45,124
7/3/2019 8:00,315
7/3/2019 8:15,378
7/3/2019 8:30,454
7/3/2019 8:45,399
7/3/2019 9:00,664
7/3/2019 9:15,606
7/3/2019 9:30,620
7/3/2019 9:45,266
7/3/2019 10:00,294
7/3/2019 10:15,351
7/3/2019 10:30,390
7/3/2019 10:45,340
7/3/2019 11:00,480
7/3/2019 11:15,541
7/3/2019 11:30,663
7/3/2019 11:45,828
7/3/2019 12:00,304
7/3/2019 12:15,344
7/3/2019 12:30,659
7/3/2019 12:45,764
7/3/2019 13:00,742
7/3/2019 13:15,579
7/3/2019 13:30,713
7/3/2019 13:45,524
7/3/2019 14:00,551
7/3/2019 14:15,720
7/3/2019 14:30,545
7/3/2019 14:45,476
7/3/2019 15:00,349
7/3/2019 15:15,312
7/3/2019 15:30,497
7/3/2019 15:45,599
7/3/2019 16:00,328
